"","SES_qblv","SES_mblv","SES_wblv","SES_tl_0","SES_tl_1","SES_tl_2","SES_nest0","SES_nest1","SES_nest2","SES_it","SES_wingl","SES_headw","SES_eyel","SES_thairl","SES_setael","SES_tibial","SES_bsor","SES_bsim","SES_bsne","SES_fbsor","SES_fbsim","SES_fbsne","SES_pbsor","SES_pbsim","SES_pbsne"
"AT",-0.247063538929994,-0.344095129696075,1.93876321328666,1.01292433558816,-0.134625298371394,-0.815542458324048,0.364230725240796,-1.10621794878834,0.231279189171645,-1.14290244257145,-0.789791186750743,0.862364643756886,1.25960796420311,-0.391555372775679,0.614409443480034,-0.130613117220217,-10.1001328165732,-9.87880508822688,7.20964872309598,-3.79126151467447,-2.17630145572202,-0.434752438013654,-5.42404300518036,-5.13538914251448,2.75333310931255
"BST",-0.168226434289085,-0.536077522365038,-0.406065121254722,0.180173365225456,0.157263698881322,-0.321939978785169,-0.344156558492884,-0.910406408610917,0.808732776744712,-1.24141848008145,-1.51574801398249,0.299282155422615,0.842160887512739,-0.75575234436846,0.184670981012876,-0.241605641669631,-9.73948188448376,-9.58044351953019,6.66226953082329,-4.33063473201093,-2.442074455438,-1.51752524237184,-4.50803493253304,-4.96676009016504,3.23632877304337
"CA",0.496613136711949,-0.035475329028695,0.193563636801244,0.188859957725499,0.0690397645215414,-0.236389680388625,1.14342318027953,-0.524962789879763,-0.850825612811012,-0.337943748031725,-0.649442203445426,0.300641936054952,1.34603953519438,-0.680283420045703,0.212762487353961,-1.02680581408802,-8.96633374871057,-8.98472547063482,8.38237538249,-3.72657659246807,-2.36668931526004,-1.30991833628385,-4.83188763881784,-5.2481972611856,1.4398906401246
"CE",-0.547006334969694,-0.168186565309468,0.993703572362566,0.154146724428717,0.208815525905276,-0.338301862351547,-0.31224554666917,-0.94211435128995,0.80243839689716,-1.08273014366466,-1.54850865779412,0.075294772919982,0.971222815583083,-0.617602130663233,0.27920633431846,-0.808999374777044,-11.6382602882743,-11.3756463823861,7.49354815596534,-4.01563340166681,-2.40106013045679,-1.56444527180539,-6.37775820815317,-6.84489660562982,3.70730899324883
"CH",-0.528795405202432,-0.211278884589427,0.972886335546726,0.158795236603347,0.216304412741786,-0.347264306061118,-0.405965196281365,-0.87778388405136,0.879049802957199,-1.06214164603186,-1.5527871187932,0.0926834916252751,0.983641194095068,-0.515268277050121,0.281708216980003,-0.83712578630204,-11.7292909507678,-11.4968047967227,7.59494941012744,-4.15980743366693,-2.49305599986663,-1.55510191954544,-6.48322887843926,-6.89620702455372,3.7318731353147
"CM",0.139598809911305,0.814077564428819,0.874986407756064,1.03616544821308,-0.182130628528909,-0.854848035106083,1.50974738805363,-1.08629659960392,-0.899930269285328,-0.232937553362667,-0.331456627280845,0.0360419155394261,1.09471272243358,-0.710854980076513,1.32964438507974,-0.381015756026411,-9.50479950774388,-9.198469053602,6.28900547029812,-3.95185450876242,-2.15410937604538,-0.444574463652259,-3.95103653820868,-3.90427704566357,2.37159201840683
"CG",0.131483010735822,0.690565083517891,1.29102724885719,0.700150902067426,-0.602677639982341,-0.0716544212790444,1.05340583079144,-1.25162042977485,-0.342796921550856,-0.322777795433474,-0.462717912009822,-0.116210911522264,0.881043557742997,-0.828398101360071,1.31012841283887,-0.466701035494375,-9.92430670038282,-9.44982318137902,6.68207118025361,-4.73364275452226,-1.79742042846164,-0.708742933773063,-4.67684531289371,-4.49063974427818,2.88595205401273
"EP",0.852863966859681,-0.183127780037245,0.738719441004755,-0.261807771444431,0.949145143849803,-0.644521220124915,0.541602011815639,-0.651675883773313,-0.180289887670533,-0.396295939599989,-0.480142038772676,0.416115913145601,1.38823651830693,-0.574170040479236,0.691862748981154,-0.149303887730854,-10.2980671428003,-10.2538946279023,8.69774676395742,-3.07026456477619,-2.62132040891372,-0.928404409852535,-5.06806696251869,-6.54035116836141,2.63256893205031
"HW",1.0744203640998,0.66247426542565,0.675918074734736,-0.889475026714504,0.162502492743126,0.70456215587864,0.725875591294686,-0.853020867046591,-0.26887234952182,0.431493390466327,-0.176041489947585,-0.725479090255012,0.636257847360069,-0.978586653331039,1.19899470879874,-0.509684608772734,-8.9484167415699,-8.85993862506544,6.60322364866472,-3.70498346416113,-2.37746721094283,-0.935736689283822,-4.31053231978951,-5.16492391681594,4.39073569420163
"LP",-0.52747281180424,-0.00968873247587243,0.455570932621669,0.560474735291044,0.475224407165789,-0.986364236255423,0.0833657503686749,-0.783121234885935,0.330065948618326,-1.00288509718768,-1.56260631894136,0.146342624775281,1.19452710953915,-0.48062590700508,0.389300677012499,-0.818635854372898,-11.0587593153132,-10.9527613845461,8.38481354289513,-3.57715920587477,-2.79557340582632,-1.3375855265319,-5.95330394289317,-7.39997735894311,3.25369044328666
"MR",0.510264569675946,0.295618383077708,-0.121764840581239,0.662040708023883,-0.489762718823475,-0.145907405683838,1.09145209486568,-1.24898973573659,-0.378957164007644,-0.492425522090637,-0.39060931812944,0.10909497286969,0.784138198388329,-0.946729526037125,1.29898604505997,0.139029040938674,-8.13925390097664,-7.80972039560589,5.71694936091084,-4.61467775728342,-1.85847660835994,-0.717782599807335,-2.78220900129284,-3.17606014534818,2.50737473426868
"MAP",-0.46171138111699,-0.00267911520785452,0.504800148904009,0.55422927700828,0.506876037991139,-1.01763407272324,0.0937428925394269,-0.789788090973318,0.330909266328372,-0.962882167006384,-1.54460096600654,0.144395883705294,1.16285405298344,-0.555381845322326,0.396720545737709,-0.783734225301169,-11.1421289293525,-11.0962706716449,8.6026792960292,-3.6015736075753,-2.81984356980516,-1.2532766751099,-5.90062403147707,-7.54155620068497,3.49338760823533
"NS",-0.215804111119816,0.805895137534175,0.424532786177104,-0.213799053604605,-0.139282875770482,0.345426557830098,0.338534621866778,-1.11747427207464,0.250266296994217,-0.224019204922187,-1.24484763408609,-0.928833248543687,0.565700618851329,-1.01355628494612,0.992578258341715,-1.09944564825961,-10.5924903240229,-10.2384632829053,6.98205118239785,-5.13098406051559,-2.13343018848167,-1.6722161203767,-5.45608152761533,-5.42740868902394,3.26847942897089
"PB",0.0439439008602067,-1.0768898061079,0.681777708899933,-1.5801071627761,0.933569377153662,0.600957050473909,-0.702279539545784,-0.65791472859112,1.03540958860604,-0.893687238960472,-0.119045117055447,0.912129927748533,1.27877927492764,0.15808453378608,0.727566290804387,0.733512403311813,-8.6836969899832,-8.6951960588799,7.41018683062127,-0.951985415901262,-2.91823835264642,1.65293767796248,-2.8709674522594,-3.80250751038555,1.51576390396784
"SC",1.08864747458104,-0.31704449817992,1.59724829007422,0.555758177877647,0.529377263192786,-1.01653918325408,1.20001205199397,-0.776483847047005,-0.744786675041256,-0.522938045749054,0.335519116002547,1.27748004191033,1.6548041683265,-0.343062991048285,0.914455096301245,0.584459166571127,-8.8860254724625,-8.88279544269068,7.30397791188277,-2.53821838711293,-1.94666040451565,-0.963123174691719,-4.02187306145259,-4.93575057702341,2.09317440748867
"SPR",0.75791334150961,-0.345974502148052,1.18760054683345,-0.68016691754688,0.523419207786523,0.152771300028021,0.0744615417320506,-0.803213898083902,0.366867269767996,-0.464199659504615,-0.551102337560666,0.312217628788091,1.13132796280595,-0.677318230294461,0.575024807781234,-0.201399967906116,-10.1045560455313,-10.0634333234074,7.94949092104814,-3.25310312256438,-2.69540966893962,-0.876230492470721,-5.37738086352134,-6.36226264272649,2.21713758465632
"SYP",-0.456073026111677,0.0204667086094343,0.477257782784933,0.556279642082145,0.477570856867761,-1.00271343876133,0.0798750767977887,-0.798164503577735,0.368645429285372,-1.02451584453307,-1.50584718604484,0.188295299989822,1.279731868125,-0.47258466946063,0.423940705642175,-0.809930233455819,-11.3918416245483,-11.2873152624733,8.56864436540002,-3.56063639595282,-2.79410678147473,-1.28929598354681,-5.99034784927767,-7.62294368290367,3.3450889645825
"WIS",-0.560661858424758,-0.201466272915263,0.938148206395893,0.142805564164894,0.168000243078684,-0.297553236020642,-0.35105223981272,-0.934570095640325,0.857884073908758,-1.13720943247838,-1.55710463595656,0.109633595221001,1.00827619555816,-0.552043023646228,0.311043315975521,-0.803694042588504,-11.2523588247977,-11.0286788769623,7.62499898849969,-4.23078235485037,-2.53639559709982,-1.55663205065984,-6.51665495798554,-6.96768066456743,3.72748501974193
"WW",0.0818954569404239,0.289245901624411,-0.479713507199416,-0.595174643305779,-0.519006109123595,1.06037976985614,-0.0748486539633664,-1.32873772328819,0.775372110615723,-0.488781071282209,-1.33368715432773,-0.928998848873714,0.236069202738579,-1.33570825673026,0.868038927338634,-0.67387950244889,-9.16536918550003,-8.76956206129289,6.36546278256074,-6.21542420943304,-1.72942296984536,-1.81763635537672,-4.09697694363282,-4.29984359531413,3.00429313597606
"WI",-1.19875260708105,-0.710215559354421,-0.0329268899260508,-0.31638340076725,0.994022037970622,-0.638122777324089,-0.595620487199463,-0.692473479289655,0.977885225925545,-1.4463692046411,-1.07290167205232,0.754915220938864,1.43064855072688,0.220163485712076,0.601514430730023,0.0313393300831469,-9.41612880267944,-9.43428573491419,8.24397370254329,-1.46243489880107,-2.09251319732088,0.417516558687995,-3.84656080035831,-5.95375445918744,3.28013067395483
