"","SES_qblv","SES_mblv","SES_wblv","SES_tl_0","SES_tl_1","SES_tl_2","SES_nest0","SES_nest1","SES_nest2","SES_it","SES_wingl","SES_headw","SES_eyel","SES_thairl","SES_setael","SES_tibial","SES_bsor","SES_bsim","SES_bsne","SES_fbsor","SES_fbsim","SES_fbsne"
"AT",0.640139013341541,-0.086927049222866,2.07067815418827,0.319778306754011,-0.143806545030917,-0.200337941183135,-0.0923607687884644,-1.31977514422516,0.950356786494019,-1.32835466797754,-0.542912265881038,1.20277850539269,1.74872040281123,-1.00219968886401,0.435383578392013,0.0665045571241107,-12.0463701587108,-11.7707523228443,8.327463424492,-4.23205398126772,-2.19133069219832,-0.990033084122873
"BST",0.64103688841554,-0.316950430920164,0.0901995233860161,-0.321650253479266,0.166814725085445,0.158670954459138,-0.608316809341621,-1.15634461001922,1.39911239092326,-1.3903074444705,-1.28087860652568,0.574533176081607,1.2761190541476,-1.30852807126448,0.106019651138709,-0.0689960906348026,-11.6659598357274,-11.4936841076143,8.09305618322501,-3.80874658620938,-2.31970383631399,-1.55720028333561
"CA",0.899313758049319,0.0340368311191276,0.361005862495556,-0.134663582047128,0.0383389074842835,0.10398100901669,0.828108701333536,-0.663711818260988,-0.386822011614716,-0.489753217477564,-0.540746594374329,0.573434531199242,1.58333572338782,-0.932932136422645,0.133133727317994,-0.925800825340456,-10.0108285716671,-9.95223006083749,9.22964069059264,-3.83643494432009,-2.43800957446312,-1.29978110857741
"CE",0.284394548295826,0.104086041359686,1.28019315502078,-0.290530561831853,0.15096224180255,0.158975812208717,-0.579398245658775,-1.18363502593641,1.33661156372477,-1.16879056935032,-1.39188657530857,0.350649388537786,1.41492650584308,-1.17254262579905,0.215956366518539,-0.694812563218032,-12.883636518165,-12.7090599348171,8.92752995475586,-3.97351430194492,-2.39223243839356,-1.58575647196347
"CH",0.31500693557571,0.0224518138872785,1.22188520771168,-0.272356903967413,0.128669155746558,0.160074713622507,-0.61276514077313,-1.12638431474741,1.43108699223069,-1.19200024920241,-1.38365043600045,0.405148028822473,1.33236739398125,-1.0527214075602,0.16095103192061,-0.643937319722947,-12.8426653095037,-12.6587829381233,8.87819834947025,-3.91280145289691,-2.30902140856926,-1.56315117028992
"CM",1.01582035091399,0.993640565973992,1.15853989080818,0.371411919314502,-0.168254296879755,-0.224798496111429,0.937127521487234,-1.33274921130691,-0.0537777277605635,-0.459610844499359,-0.139079283605931,0.401098253331222,1.55824819150861,-1.23696833365046,1.24033617629577,-0.186228906795467,-11.6475704992583,-11.3266045176322,7.86251851782452,-4.10902743325277,-2.03871854849597,-0.989100697388506
"CG",1.12318304134401,0.910687543722955,1.6964705991489,0.00897794169429942,-0.513542722816335,0.52636291658262,0.515529721504279,-1.41314803931218,0.458059854667887,-0.483968005401053,-0.171995170068724,0.330089862193819,1.41086953287162,-1.47394776144034,1.04961449985032,-0.257739069429205,-11.4162590308922,-10.9931140892315,8.06710903289282,-4.8332664834663,-1.87743132394918,-1.14983704437029
"EP",1.31592213233638,-0.0584278405947119,0.936945779812289,-0.645628729895158,0.896516378581843,-0.262997791698461,0.294334014152964,-0.839449499164849,0.298698753065717,-0.551822516806128,-0.30673791385823,0.672838167148204,1.64526790149005,-0.925403600174575,0.691841536402224,0.0449792619666845,-11.7726892047247,-11.6799820158236,9.8657083070163,-3.14008846331193,-2.79589229045724,-0.964947038908339
"HW",1.58334920692993,0.825304864523167,0.975417917120498,-1.28726734662717,0.150191239813456,1.1654807273637,0.424611273606599,-1.14531289668832,0.330759703295896,0.195770155019823,-0.0444486256534272,-0.345977933088511,1.14001673106573,-1.51114677774884,1.08761247338312,-0.355202006789425,-11.4751416565025,-11.3058754118779,7.8763340177792,-3.48765901394244,-1.97033975361998,-1.57073104962686
"LP",0.21281377905751,0.169853347526952,0.847111522589202,0.091275355166393,0.5399410622554,-0.637187524326494,-0.188795056590349,-1.00635493962774,0.848965067612838,-1.11716643731885,-1.36103585277983,0.433078471733127,1.51994976158463,-0.942695860798393,0.305684714381534,-0.657324861062052,-12.950023590891,-12.8882980631152,10.1372474926592,-3.41192013991171,-2.60575666793253,-1.32184524192665
"MR",1.4600399480516,0.527851137548564,0.47675514808295,-0.0070966330421071,-0.557882822004538,0.553903379043842,0.477837537889521,-1.4836999565409,0.481215664775728,-0.733422910172065,-0.0696453746468,0.579670561127446,1.3340106227435,-1.61423185169641,1.01345481310547,0.410311927313524,-10.6594197408245,-10.2230554468334,7.27804406334104,-5.10724482676406,-1.96640982225395,-1.25886617440732
"MAP",0.207486028050892,0.114102974326564,0.802001653444756,0.150030226158757,0.469539805869111,-0.634980310593363,-0.221669549572563,-0.993157243070681,0.874252544979041,-1.15873162768859,-1.33097032172681,0.493113617802355,1.52373157918297,-0.940530902840523,0.284006553171517,-0.630628749349258,-13.5528890945703,-13.4821799015905,10.4922169725251,-3.3772782496359,-2.5513192335022,-1.3580387624286
"NS",0.658236324135008,1.03937736746263,0.803617766551912,-0.657239522878802,-0.179842671454013,0.866026388029335,-0.0814624412487293,-1.27230041186671,0.92371371272037,-0.34616611988895,-0.958255147605041,-0.553147232905035,1.0132133046888,-1.46490412032186,0.842479288860725,-0.922412129165511,-12.4991822686003,-12.1556757991939,8.41020487639953,-4.59127141345522,-2.15578651965246,-1.30962196909982
"PB",0.57224562728867,-0.908580404123643,0.92550056710524,-1.80713477103749,0.920402789659856,0.91429341214006,-0.870136776999709,-0.854919949197046,1.4791333118937,-1.06900169530821,-0.0150961131214103,1.10064539559927,1.54090195044463,-0.313526058456005,0.675215442919285,0.832566744378165,-9.9476980293396,-9.91575549541989,8.55114474556258,-0.041547798098872,-2.7834445412916,2.77779350259685
"SC",1.63468442002196,-0.194357292166359,1.71424939680188,0.190563498992718,0.448264717720178,-0.640020546195962,0.786930218687325,-0.902116715914014,-0.196129842903861,-0.650113355133391,0.528211111672974,1.48469272502957,1.85709713655763,-0.726500590497529,0.829645091231576,0.732672878459566,-11.027814929945,-10.9580031850661,8.44698375051565,-2.98786837270474,-2.14334399833413,-1.25852493926463
"SPR",1.37489492593892,-0.157999555675034,1.46882068097334,-1.00463496414876,0.497150036946254,0.562491301154465,-0.175098825280785,-1.03954375438946,0.882310335284412,-0.654230058435017,-0.396098967045802,0.635595365199154,1.50133146898904,-1.19587164367361,0.452304667825556,-0.014569044057779,-12.3181223843742,-12.2568269215336,9.54067520689138,-3.16638960435295,-2.71011779880753,-0.897717322336534
"SYP",0.179017191360371,0.147305718634167,0.746053144047785,0.128592993071297,0.536854864879223,-0.661988943877119,-0.204482629186906,-0.964190406523799,0.879812004075927,-1.13472964359403,-1.46030267649741,0.394196361480517,1.46007432558631,-0.955683080272531,0.319094254917653,-0.720965861458226,-13.6704666619173,-13.5550144510688,10.330580381253,-3.3658415920968,-2.56287148319971,-1.37508156369449
"WIS",0.326919702496452,0.0129311241514191,1.30656928725474,-0.260603629628365,0.12880769188166,0.152479223141071,-0.688932497243755,-1.09745401586259,1.42313074746409,-1.11528641330786,-1.31812798204945,0.379381938474935,1.30921310659911,-1.16903104311963,0.105669149691284,-0.675047080320165,-13.3213279920462,-13.1223016125926,9.00649152699371,-3.8386480137442,-2.31941392142992,-1.58969788784768
"WW",0.962980405306531,0.527138341835982,0.107215257619259,-0.999875283017582,-0.506705244245175,1.5235907351777,-0.496780541046797,-1.50865312793382,1.44912210082783,-0.650792422090404,-1.02582866667981,-0.381340260959705,0.8406362259642,-1.85073638235263,0.670486061708724,-0.439404684906665,-10.9702514361983,-10.5262170625707,7.6539125000024,-5.42892157962581,-1.91386447934026,-1.54524517132445
"WI",-0.551147937000201,-0.582506480741344,0.251384614353964,-0.567362259890612,0.858286377513305,-0.289694752066917,-0.845430912293021,-0.847551999519953,1.41401903577599,-1.56682465031849,-1.01018461652618,0.937534169182985,1.63120118549748,-0.167005486312771,0.493012924593388,0.13595655085588,-11.2102207423909,-11.2190915322831,9.75649343102273,-1.07512821775245,-2.42687396000384,1.30096928343136
